program	before	after	delta	proxy	dataset	cell_type	target	n_cells	n_genes	perturbation	n_sig_fdr
endothelial	0.106316442506047	0.112568481794247	0.0062520392881993	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	1
CAF_ECM	-0.0711448609118179	-0.0711656393526434	-2.07784408254169e-05	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
myeloid_inflammation	-0.115591536680793	-0.114643982073465	0.0009475546073272	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
cytotoxic_TNK	-0.185338248630658	-0.185419341525832	-8.10928951737178e-05	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
T_exhaustion	0.028222708932135	0.0273320748370942	-0.0008906340950407	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
TNF_NFkB	-0.035293511848342	-0.0359317982608811	-0.000638286412539	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
angiogenesis	0.0342817174868675	0.0285451056082904	-0.005736611878577	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	1
TGFb_fibrosis	-0.0478468274913496	-0.0511151526585784	-0.0032683251672288	KO	GSE154778_primary	endothelial	EPAS1	89	58	KO	0
endothelial	0.106316442506047	0.0769017752639749	-0.0294146672420724	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
CAF_ECM	-0.0711448609118179	-0.0706497816380186	0.0004950792737993	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
myeloid_inflammation	-0.115591536680793	-0.120327617034917	-0.0047360803541246	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
cytotoxic_TNK	-0.185338248630658	-0.185993363056467	-0.0006551144258091	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
T_exhaustion	0.028222708932135	0.0341794352064978	0.0059567262743628	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
TNF_NFkB	-0.035293511848342	-0.0329859762967773	0.0023075355515647	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
angiogenesis	0.0342817174868675	0.0169642754132766	-0.0173174420735909	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
TGFb_fibrosis	-0.0478468274913496	-0.0517502633574833	-0.0039034358661337	OE	GSE154778_primary	endothelial	EPAS1	89	58	OE	0
endothelial	0.26153971251432	0.253161327780906	-0.0083783847334135	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	1
CAF_ECM	-0.0680444917267135	-0.0692738915777254	-0.0012293998510119	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
myeloid_inflammation	-0.0911815390108453	-0.089980083274306	0.0012014557365392	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
cytotoxic_TNK	-0.132085067773416	-0.132225136750251	-0.0001400689768348	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
T_exhaustion	-0.0141472030974626	-0.0147258068244863	-0.0005786037270237	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
TNF_NFkB	0.0250852635241345	0.0268984353767459	0.0018131718526114	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
angiogenesis	0.199566040084842	0.178257768793028	-0.0213082712918142	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	1
TGFb_fibrosis	0.0255173871569433	0.0252362219285018	-0.0002811652284414	KO	GSE155698_primary	endothelial	EPAS1	315	56	KO	0
endothelial	0.26153971251432	0.254562668068707	-0.0069770444456128	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	1
CAF_ECM	-0.0680444917267135	-0.102805426466808	-0.034760934740095	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
myeloid_inflammation	-0.0911815390108453	-0.10669462570332	-0.0155130866924749	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
cytotoxic_TNK	-0.132085067773416	-0.13466008808573	-0.0025750203123134	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
T_exhaustion	-0.0141472030974626	-0.0164720938703555	-0.0023248907728928	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
TNF_NFkB	0.0250852635241345	0.0003277978710961	-0.0247574656530383	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
angiogenesis	0.199566040084842	0.120788501515251	-0.0787775385695915	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	1
TGFb_fibrosis	0.0255173871569433	0.0189981762276615	-0.0065192109292818	OE	GSE155698_primary	endothelial	EPAS1	315	56	OE	0
endothelial	0.168379948130235	0.158086799370338	-0.0102931487598976	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	1
CAF_ECM	-0.0722523114923661	-0.0750315102832141	-0.002779198790848	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	0
myeloid_inflammation	-0.0859662713092188	-0.0865384675472132	-0.0005721962379944	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	0
cytotoxic_TNK	-0.122256636424023	-0.122397629208789	-0.0001409927847659	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	1
T_exhaustion	-0.0341629519654646	-0.0333791321149912	0.0007838198504734	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	0
TNF_NFkB	-0.0536585279251062	-0.0541212929952957	-0.0004627650701895	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	1
angiogenesis	0.0968097978900795	0.0776061272007213	-0.0192036706893583	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	1
TGFb_fibrosis	-0.0236087170695346	-0.0278868082934597	-0.004278091223925	KO	GSE212966_primary	endothelial	EPAS1	974	58	KO	0
endothelial	0.168379948130235	0.162121981564158	-0.0062579665660775	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
CAF_ECM	-0.0722523114923661	-0.109819671777454	-0.0375673602850878	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
myeloid_inflammation	-0.0859662713092188	-0.103409680367354	-0.0174434090581355	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
cytotoxic_TNK	-0.122256636424023	-0.123693084112128	-0.0014364476881055	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
T_exhaustion	-0.0341629519654646	-0.0361236527718123	-0.0019607008063477	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
TNF_NFkB	-0.0536585279251062	-0.0735369349719937	-0.0198784070468875	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
angiogenesis	0.0968097978900795	0.0724236206038011	-0.0243861772862784	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
TGFb_fibrosis	-0.0236087170695346	-0.0603905381459371	-0.0367818210764025	OE	GSE212966_primary	endothelial	EPAS1	974	58	OE	0
